source_tag,target_tag,reason,priority,combined_usage
preschool number worksheets,number worksheets,canonical,skip,41
kindergarten comparing numbers worksheets,comparing numbers worksheets,canonical,skip,42
number tracing worksheets,number tracing worksheets,canonical,skip,20
number tracing worksheet,number tracing worksheet,singular variant,low,1
number posters,number posters,canonical,skip,31
number templates,number templates,canonical,skip,48
letter recognition worksheets,letter recognition worksheets,canonical,skip,24
beginning sounds worksheets,sounds worksheets,canonical,skip,32
ending sounds worksheets,sounds worksheets,canonical,skip,12
cut paste letter worksheets,letter worksheets,canonical,skip,260018
pattern worksheets,pattern worksheets,canonical,skip,23
st patricks day worksheets,st patricks day worksheets,canonical,skip,21
summer worksheets,summer worksheets,canonical,skip,23
winter worksheets,winter worksheets,canonical,skip,22
easter worksheets,easter worksheets,canonical,skip,22
christmas worksheets,christmas worksheets,canonical,skip,22
back to school scavenger hunt,scavenger hunt,canonical,skip,12
fall scavenger hunt,scavenger hunt,canonical,skip,88303
summer scavenger hunt,scavenger hunt,canonical,skip,89557
outdoor fall scavenger hunt,scavenger hunt,specific variant,low,91321
outdoor winter scavenger hunt for kids,scavenger hunt,specific variant,low,88273
farm scavenger hunt,scavenger hunt,specific variant,low,88261
easter scavenger hunt,scavenger hunt,specific variant,low,88291
easter scavenger hunt for kids,scavenger hunt,specific variant,low,88319
halloween scavenger hunt for kids,scavenger hunt,specific variant,low,1
christmas scavenger hunt,scavenger hunt,specific variant,low,1
i spy,i spy,canonical,skip,24
i spy games,i spy,plural variant,low,92079
i spy puzzles for kids,i spy,specific variant,low,32
fall i spy game for kids,i spy,specific variant,low,91273
easter i spy,i spy,specific variant,low,88409
christmas i spy game free printable christmas activities,i spy,verbose variant,low,88493
halloween i spy game,i spy,specific variant,low,90467
birthday i spy game for kids,i spy,specific variant,low,88423
fire safety i spy free printable i spy games,i spy,verbose variant,low,88437
4th of july i spy,i spy,specific variant,low,89917
back to school i spy,i spy,specific variant,low,90113
dinosaur i spy game,i spy,specific variant,low,91951
printable play money,play money,canonical,skip,17
printable blank bingo cards,bingo cards,canonical,skip,27922
free printable alphabet bingo,alphabet bingo,canonical,skip,11
number bingo,bingo,canonical,skip,261359
free printable number bingo,number bingo,canonical,skip,10
printable bingo cards game night idea,bingo cards,canonical,skip,27612
coloring crafts,coloring crafts,canonical,skip,11
diy crafts,crafts,canonical,skip,0
printable puzzles and games,puzzles and games,canonical,skip,35
free printable puzzles and games,puzzles and games,verbose variant,low,0
printable maze puzzles for kids,maze puzzles,canonical,skip,50
printable monster templates,monster templates,canonical,skip,62
printable tooth fairy certificates,tooth fairy certificates,canonical,skip,25
printable tooth templates,tooth templates,canonical,skip,17
printable raindrop templates,raindrop templates,canonical,skip,19
free printable chore chart templates,chore chart templates,canonical,skip,24
free printable chore chart,chore chart,canonical,skip,27944
chore chart for kids,chore chart,specific variant,low,86241
printable party favor bags,party favor bags,canonical,skip,27872
printable teacher gift ideas,teacher gift ideas,canonical,skip,27516
printable baby cards,baby cards,canonical,skip,11
printable flash cards,flash cards,canonical,skip,29247
printable scrapbook paper,scrapbook paper,canonical,skip,27982
printable paper dolls,paper dolls,canonical,skip,27558
printable picture quizzes,picture quizzes,canonical,skip,28535
printable emoji quizzes with answers,emoji quizzes,canonical,skip,29517
printable bubble letter a,bubble letter,a-specific,low,29035
printable play money,play money,canonical,skip,17
recommended tools,tools,canonical,skip,14
user guide,guide,canonical,skip,45
about,about,canonical,skip,15
blog,blog,canonical,skip,84061
shop,shop,canonical,skip,134949
downloadable fun free printable bingo cards,bingo cards,verbose variant,low,14
